id,name,artist,valence,energy,danceability,tempo,genres,duration (ms),explicit,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,mood
6Qqh9VEIeHjGoTHsSA8VZZ,Kid Again,Camo Columbo,0.402,0.605,0.802,114.945,[],184696,False,6,-8.643,0,0.0416,0.713,0.01,0.171,Sad
7eB1V5LvAdxCc7brfGhRRo,watch,Billie Eilish,0.35,0.599,0.441,165.212,"['art pop', 'pop']",177523,False,0,-8.985,1,0.225,0.333,0.00198,0.103,Sad
1SOClUWhOi8vHZYMz3GluK,Infinity,Jaymes Young,0.494,0.673,0.671,121.963,[],237720,False,11,-6.941,0,0.0444,0.148,5.29e-05,0.304,Sad
1npSSnKFAEoRcCU6uZVvPy,The Breakup Song,High Tropics,0.688,0.835,0.605,140.906,[],165173,False,9,-7.42,0,0.0602,0.0508,0.166,0.212,Sad
1eCTQhsNA31FcwyNcJcf86,"Eyes Blue Like The Atlantic, Pt. 2 (feat. Powfu, Alec Benjamin & Rxseboy)",Sista Prod,0.507,0.616,0.702,80.482,['sad lo-fi'],156188,False,6,-4.903,1,0.326,0.686,0.0,0.145,Sad
10hMM5nsZQf66ldBlgWBfG,All For Us - from the HBO Original Series Euphoria,Labrinth,0.172,0.652,0.348,70.956,"['indie poptimism', 'pop']",192987,False,3,-7.145,1,0.0931,0.0165,0.000264,0.33,Sad
5LCxaJ6WHn2vCsIS9apc41,Postcardtospain,Liush,0.215,0.126,0.471,121.681,[],207795,False,8,-17.802,1,0.0381,0.943,0.0776,0.112,Sad
6AGOKlMZWLCaEJGnaROtF9,Put Your Records On,Ritt Momney,0.151,0.491,0.399,91.066,['bedroom pop'],210463,False,6,-10.778,0,0.0538,0.0563,0.00089,0.11,Sad
6tH1lxPcQConWuvlh85yFT,abcdefu (chill),GAYLE,0.195,0.429,0.554,112.899,"['alt z', 'modern alternative pop']",176766,True,1,-7.687,0,0.0334,0.0405,0.0,0.23,Sad
30LvnsFly9MIrnVjqxZD9U,Big Jet Plane,AFTRHOURS,0.209,0.44,0.839,140.032,['la pop'],134143,False,0,-10.349,1,0.0827,0.39,0.000151,0.134,Sad
